ID_event,Event_Type,Event_Description,Event_Strength,Geographic_Impact,Start_date,End_date,Precise_Date_Start,Precise_Date_End,Season,Chronological_precision,Lat,Lon,Modern_Location_Name,Ancient_Location_Name,Spatial_Precision,Extra_Notes,Paleoenvironmental_Comparison,Pfister_Wet_Dry,Pfister_Cold_Warm
349,3,Alluvione a Bari il 27 settembre del 1827,2,1,1827,1827,27/09/1827,27/09/1827,Autunno,5,41.11970826,16.86057493,Bari,Barum,TRUE,NA,NA,2,NA
350,3,Alluvione in Terra di Bari nell'agosto del 1883,NA,1,1883,1883,NA,NA,NA,5,41.11970826,16.86057493,Bari,Barum,TRUE,NA,NA,NA,NA
351,3,Alluvione a Monopoli nel 1896,2,1,1896,1896,NA,NA,NA,3,40.949999999999996,17.29,Monopoli,NA,TRUE,NA,NA,2,NA
352,3,Alluvione a Bari nel 1810,NA,1,1810,1810,NA,NA,NA,5,41.11970826,16.86057493,Bari,Barum,TRUE,NA,NA,NA,NA
353,3,Alluvione a Castellana-Grotte del 28 agosto 1741 dove il livello massimo delle acque ebbe modo di salire a 6 metri,NA,1,1741,1741,28/08/1741,28/08/1741,Estate,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,NA,NA
354,3,Si indica un'alluvione a Castellana-Grotte del 1° novembre 1784 dove il livello massimo delle acque ebbe modo di salire a 5 metri facendo 9 morti,2,1,1784,1784,01/11/1784,01/11/1784,Autunno,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,2,NA
355,3,Alluvione a Castellana-Grotte del 19 settembre 1853,2,1,1853,1853,19/09/1853,19/09/1853,Estate,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,2,NA
356,3,Alluvione a Castellana-Grotte del 12 ottobre 1855,2,1,1855,1855,12/10/1855,12/10/1855,Autunno,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,2,NA
357,3,Alluvione a Castellana-Grotte del 22 giugno 1874,2,1,1874,1874,22/06/1874,22/06/1874,Estate,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,2,NA
358,3,Alluvione a Castellana-Grotte del 24 settembre 1888,2,1,1888,1888,24/09/1888,24/09/1888,Autunno,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,2,NA
359,3,Alluvione a Castellana-Grotte del 25 novembre 1894,2,1,1894,1894,25/11/1894,25/11/1894,Autunno,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,2,NA
360,3,"Alluvione a Castellana-Grotte del 9 novembre 1896 che fece 4 morti e rese inabitabile circa seicento case; livello delle acque raggiunse i 5,40 metri",2,1,1896,1896,09/11/1896,09/11/1896,Autunno,5,40.8835651,17.16729319,Castellana-Grotte,NA,TRUE,NA,NA,2,NA
373,5,Si indica delle precipitazioni importanti nel distretto di Barletta nel maggio del 1762 tali da rovinare il seminato,2,1,1762,1762,01/05/1762,31/05/1762,Primavera,5,41.309999999999995,16.28,Barletta,NA,TRUE,NA,NA,2,NA
374,5,Si indica delle precipitazioni importanti nella zona di Poggiardo nell'estate del 1762 tali da far cadere i fiori dagli ulivi rovinando il raccolto,2,1,1762,1762,NA,NA,Estate,4,40.03,18.23,Poggiardo,NA,TRUE,NA,NA,2,NA
