year,month,value
1605,4,8.640703500098476e-6
1605,5,1.0629171672924895e-5
1605,6,5.521504757102253e-6
1605,7,6.057748435613268e-7
1605,8,2.035193425963089e-6
1605,9,9.341633032634457e-6
1605,10,2.364251720501715e-5
1605,11,1.896197491192726e-5
1605,12,1.805436466590143e-5
1606,1,2.0985220980302707e-5
1606,2,1.6991583996260673e-5
1606,3,1.476883494904555e-5
1606,4,1.0758685006750973e-5
1606,5,6.901811670604801e-6
1606,6,4.892887229487256e-6
1606,7,2.83982137032721e-6
1606,8,9.54181863397764e-7
1606,9,1.0552667546683185e-5
1606,10,2.681347919333554e-5
1606,11,1.8861013986352456e-5
1606,12,1.7057290264988914e-5
1607,1,1.884924486495665e-5
1607,2,1.513032427657378e-5
1607,3,1.4960877722756576e-5
1607,4,1.7612448513799817e-5
1607,5,1.0327198805720294e-5
1607,6,5.622416242761449e-6
1607,7,1.6478766613047306e-6
1607,8,1.2641726460050168e-6
1607,9,5.593015964792272e-6
1607,10,2.008265737957898e-5
1607,11,1.806657106055386e-5
1607,12,1.7641983791566707e-5
1608,1,1.7721304194905202e-5
1608,2,9.712614940583963e-6
1608,3,1.5869274330560638e-5
1608,4,1.4527653978641406e-5
1608,5,9.583162147519654e-6
1608,6,9.072050011213189e-6
1608,7,7.868597683983129e-7
1608,8,1.148478022837837e-6
1608,9,1.0796427443777072e-5
1608,10,1.651266021362057e-5
1608,11,1.7894978464426048e-5
1608,12,1.5305740646862247e-5
1609,1,1.4114768705272305e-5
1609,2,1.592298257484994e-5
1609,3,1.2571042717093933e-5
1609,4,1.1673110131369607e-5
1609,5,1.1016528793837437e-5
1609,6,6.330866636332032e-6
1609,7,1.8491412648105336e-6
1609,8,1.3966375719679383e-6
1609,9,1.118655327123394e-5
1609,10,1.668108875153488e-5
1609,11,2.5920958663562226e-5
1609,12,1.3733318208431366e-5
1610,1,1.8033087154961208e-5
1610,2,2.0014396758215585e-5
1610,3,1.6858048190042323e-5
1610,4,1.5503698451240858e-5
1610,5,1.0287403963558017e-5
1610,6,5.130972421395435e-6
1610,7,1.4816224668654677e-6
1610,8,2.3825197079896137e-6
1610,9,1.1587050457022244e-5
1610,10,2.155695887977319e-5
1610,11,2.489036824702727e-5
1610,12,1.4590823798508485e-5
1611,1,1.6671137403892883e-5
1611,2,1.995972022987101e-5
1611,3,1.4059494007265534e-5
1611,4,1.3434246838921475e-5
1611,5,1.1359531137327646e-5
1611,6,6.277159129010661e-6
1611,7,1.0677952451269209e-6
1611,8,2.850557837784866e-6
1611,9,6.236906142421207e-6
1611,10,1.5364015095966788e-5
1611,11,1.7575546629555673e-5
1611,12,1.3904215557985413e-5
1612,1,1.5792622852619125e-5
1612,2,1.4978311714052568e-5
1612,3,1.3204289835824099e-5
1612,4,1.4509890905759284e-5
1612,5,1.146230566046113e-5
1612,6,4.839874920298736e-6
1612,7,7.360442624603715e-7
1612,8,2.730402455978994e-6
1612,9,8.921848341693946e-6
1612,10,1.77342888597575e-5
1612,11,2.1985103209283192e-5
1612,12,1.2925196064530648e-5
1613,1,1.6150292544463178e-5
1613,2,1.4895918962870168e-5
1613,3,1.133765733789795e-5
1613,4,1.2041122952435006e-5
1613,5,1.1729831444169707e-5
1613,6,5.336866723969572e-6
1613,7,1.5584786650173699e-6
1613,8,1.1440066346322014e-6
1613,9,8.724882183825752e-6
1613,10,2.3734237989623322e-5
1613,11,1.5931686246261647e-5
1613,12,1.329611008423621e-5
1614,1,1.560703025815513e-5
1614,2,1.9624309380119715e-5
1614,3,1.707386136312141e-5
1614,4,1.3894634783962515e-5
1614,5,1.0481505209825418e-5
1614,6,5.949227600995607e-6
1614,7,1.6611004455419532e-6
1614,8,2.2356709622232067e-6
1614,9,1.3265084063108145e-5
1614,10,1.9196391067522292e-5
1614,11,2.018685509450561e-5
1614,12,1.1355387778534444e-5
1615,1,1.6592788196525317e-5
1615,2,1.812977958022538e-5
1615,3,1.49902094432083e-5
1615,4,1.3156268631346125e-5
1615,5,8.296971156814143e-6
1615,6,6.375270827006102e-6
1615,7,1.5204601083333865e-6
1615,8,1.3538840390454978e-6
1615,9,1.1815829201993474e-5
1615,10,2.0755791854546754e-5
1615,11,2.222022437864565e-5
1615,12,1.9313240107424004e-5
1616,1,1.3428803148898942e-5
1616,2,1.4703011355273843e-5
1616,3,1.5499726856811713e-5
1616,4,1.6376593966579392e-5
1616,5,1.142791471097475e-5
1616,6,6.178899788381648e-6
1616,7,1.369072371271156e-6
1616,8,2.1167276756640147e-6
1616,9,1.4609780472136547e-5
1616,10,2.334219498055051e-5
1616,11,1.7650636038034485e-5
1616,12,1.8205598299136667e-5
1617,1,1.8230107706960612e-5
1617,2,1.8381999736932845e-5
1617,3,1.2006645348672918e-5
1617,4,1.1989888319020983e-5
1617,5,1.0320629763987648e-5
1617,6,5.234317011563637e-6
1617,7,1.3198369226967635e-6
1617,8,2.5760649499152983e-6
1617,9,1.1112850420961358e-5
1617,10,2.1003794381965832e-5
1617,11,1.6305275987587514e-5
1617,12,1.663269397960959e-5
1618,1,1.4478371525602928e-5
1618,2,1.5806800411492562e-5
1618,3,1.2395755561819221e-5
1618,4,1.2539837656923166e-5
1618,5,1.075626836191941e-5
1618,6,3.930816035295758e-6
1618,7,8.395102390726118e-7
1618,8,3.0939719597277207e-6
1618,9,7.708497259228288e-6
1618,10,1.855181590453698e-5
1618,11,2.271570765262985e-5
1618,12,1.5825851558145855e-5
1619,1,1.655073872974847e-5
1619,2,1.27430241242961e-5
1619,3,1.7099055694981884e-5
1619,4,1.531687031561444e-5
1619,5,1.1565908541929126e-5
1619,6,4.69016284836393e-6
1619,7,9.767510956053163e-7
1619,8,8.319542744884157e-7
1619,9,1.1004846939122946e-5
1619,10,2.1393429753400526e-5
1619,11,2.128680035528629e-5
1619,12,1.4571925819217685e-5
1620,1,1.30950821658232e-5
1620,2,1.3214106811937346e-5
1620,3,1.5039837482686786e-5
1620,4,1.5473065118371428e-5
1620,5,1.0691356206905628e-5
1620,6,6.432941487700787e-6
1620,7,7.288975939107281e-7
1620,8,1.6146168021212944e-6
1620,9,1.2244087796842953e-5
1620,10,2.0215979337364763e-5
1620,11,1.7747143214575756e-5
1620,12,1.5477543876412122e-5
1621,1,1.4267884696874045e-5
1621,2,1.78123573654703e-5
1621,3,1.3826970814703983e-5
1621,4,1.1013202517234212e-5
1621,5,1.3228399585066767e-5
1621,6,4.982563577170154e-6
1621,7,8.045743806814503e-7
1621,8,1.348363372163499e-6
1621,9,1.1584932921623931e-5
1621,10,2.0902111378358804e-5
1621,11,2.1067841436888556e-5
1621,12,1.3208960915694433e-5
1622,1,1.4799244641062052e-5
1622,2,1.5850399407503957e-5
1622,3,1.4468957012332216e-5
1622,4,1.3218933733857599e-5
1622,5,5.7935786215985755e-6
1622,6,4.341379468203067e-6
1622,7,1.3527952597052579e-6
1622,8,2.5764710898567716e-6
1622,9,1.003279157173457e-5
1622,10,1.6920607964466846e-5
1622,11,2.081661211407368e-5
1622,12,1.2798051223074842e-5
1623,1,1.3274618251570604e-5
1623,2,1.2575524879985576e-5
1623,3,1.636392872797695e-5
1623,4,1.2490620074333248e-5
1623,5,1.0130618459686793e-5
1623,6,4.6060787107969215e-6
1623,7,1.5712865511711762e-6
1623,8,1.6617729481785063e-6
1623,9,1.0866572839769e-5
1623,10,1.8363007689311685e-5
1623,11,2.1698122189917718e-5
1623,12,1.559096857112684e-5
1624,1,2.0657933626738998e-5
1624,2,1.2806422421941213e-5
1624,3,1.5188290137546686e-5
1624,4,1.3623688024449893e-5
1624,5,1.1127270758346816e-5
1624,6,4.3940160713039164e-06
1624,7,2.3106250246882266e-6
1624,8,4.867584542926603e-7
1624,9,1.2822311412863267e-5
1624,10,1.7053355393973728e-5
1624,11,1.925282285689711e-5
1624,12,1.7695369447508992e-5
1625,1,1.6214541106848853e-5
1625,2,1.4710380861874067e-5
1625,3,1.3446644916134408e-5
1625,4,1.0594306112791176e-5
1625,5,1.1782569255590935e-5
1625,6,5.3351710066134994e-6
1625,7,1.147693291693949e-6
1625,8,1.7033310947377392e-6
1625,9,1.0458964743318195e-5
1625,10,2.156859543772035e-5
1625,11,1.8478133526859364e-5
1625,12,1.6627086480686424e-5
1626,1,1.1867966631517485e-5
1626,2,1.971136659267944e-5
1626,3,1.3444700192236049e-5
1626,4,1.1891724210224046e-5
1626,5,8.59488640761839e-6
1626,6,3.67501994154128e-6
1626,7,1.9456593746160022e-6
1626,8,3.0387317343208543e-6
1626,9,1.1699108262358704e-5
1626,10,1.8758347276677188e-5
1626,11,1.7883053086431753e-5
1626,12,1.712284871700581e-5
1627,1,1.4051919847890574e-5
1627,2,1.3311984651329807e-5
1627,3,1.4468535831882941e-5
1627,4,1.225268551520687e-5
1627,5,1.0869118255541807e-5
1627,6,6.195633007630238e-6
1627,7,1.8755726549336493e-6
1627,8,1.0911800568407705e-6
1627,9,9.509853252586255e-6
1627,10,2.0401221183807543e-5
1627,11,1.2021516395148467e-5
1627,12,1.7588298837410047e-5
1628,1,1.3485528088097649e-5
1628,2,1.3921715387673844e-5
1628,3,1.2870399053985555e-5
1628,4,1.3046099097173386e-5
1628,5,1.1425450640750097e-5
1628,6,5.583716987786293e-6
1628,7,9.254541117545492e-7
1628,8,1.7371899698964484e-6
1628,9,8.605153115505135e-6
1628,10,1.8747046149511752e-5
1628,11,2.468257084878389e-5
1628,12,1.837827662984954e-5
1629,1,1.8449406737218263e-5
1629,2,2.049246529597541e-5
1629,3,1.1414853884923678e-5
1629,4,1.4272312309748312e-5
1629,5,1.1457880989796274e-5
1629,6,5.339523944113853e-6
1629,7,1.4494881213000638e-6
1629,8,1.2905715269460255e-6
1629,9,1.2106130353431829e-5
1629,10,1.750480961380759e-5
1629,11,1.9848998190780226e-5
1629,12,2.0772893603590494e-5
1630,1,1.8362028677070062e-5
1630,2,1.8229554872892782e-5
1630,3,1.4948505321509673e-5
1630,4,1.2613302758236309e-5
1630,5,1.0114204131626697e-5
1630,6,6.334907590840975e-6
1630,7,1.3392797768563329e-6
1630,8,2.2505039886314863e-6
1630,9,7.983846010252482e-6
1630,10,2.1266248095604376e-5
1630,11,1.6900536526832555e-5
1630,12,1.5007447519710587e-5
1631,1,1.5609257679490944e-5
1631,2,1.4880113146050939e-5
1631,3,1.5609266108910893e-5
1631,4,1.1369313059780567e-5
1631,5,1.1503550460136131e-5
1631,6,6.641418724317743e-6
1631,7,2.4965203939093537e-6
1631,8,2.238765499626138e-6
1631,9,9.751766908795399e-6
1631,10,2.643505297578689e-5
1631,11,1.7322645419646044e-5
1631,12,1.321546046960339e-5
1632,1,1.786614622421266e-5
1632,2,1.7407457243875586e-5
1632,3,1.2521658098165978e-5
1632,4,1.0762858659415251e-5
1632,5,1.0560598902231861e-5
1632,6,5.103613719239094e-6
1632,7,1.0333474057911635e-6
1632,8,1.8111748383908806e-6
1632,9,9.723064296549315e-6
1632,10,2.1085848490633994e-5
1632,11,2.1361395062473316e-5
1632,12,1.664747860237609e-5
1633,1,1.642598852373056e-5
1633,2,1.4842627262217548e-5
1633,3,1.4394104789529274e-5
1633,4,1.4173013365193151e-5
1633,5,1.2514148705301934e-5
1633,6,9.534294285928241e-6
1633,7,2.8818609658636577e-6
1633,8,2.5945211041976532e-6
1633,9,8.636741584823799e-6
1633,10,1.926935134105772e-5
1633,11,1.8034033119483095e-5
1633,12,1.793337075002892e-5
1634,1,1.4164197164428717e-5
1634,2,1.2721582048067464e-5
1634,3,1.3163171555602023e-5
1634,4,1.1401006856375881e-5
1634,5,7.675663093771765e-6
1634,6,4.47325631272338e-6
1634,7,6.397314017300875e-7
1634,8,1.5605147432412658e-6
1634,9,1.0586894153336242e-5
1634,10,2.000463038126087e-5
1634,11,1.668749701640693e-5
1634,12,1.754969348920188e-5
1635,1,1.447588117713862e-5
1635,2,1.3152605930541367e-5
1635,3,1.1497671080270213e-5
1635,4,1.091014247495281e-5
1635,5,1.151750006980262e-5
1635,6,5.451119513067456e-6
1635,7,1.2562167198965612e-6
1635,8,2.0986178569779276e-6
1635,9,8.069083096889023e-6
1635,10,1.9141479393738375e-5
1635,11,1.501548091488128e-5
1635,12,1.8255836914472468e-5
1636,1,2.2871660960090613e-5
1636,2,1.2871280763187113e-5
1636,3,1.510998651142751e-5
1636,4,1.250157461592849e-5
1636,5,9.204657334525014e-6
1636,6,5.67333674859219e-6
1636,7,1.1271948854903878e-6
1636,8,1.0032362090247388e-6
1636,9,1.1243747575861222e-5
1636,10,1.9224013478696723e-5
1636,11,2.040634840052441e-5
1636,12,1.4486382146751905e-5
1637,1,1.712390489776098e-5
1637,2,1.5389493751002396e-5
1637,3,1.5006030187841654e-5
1637,4,1.4255986274398745e-5
1637,5,1.0291937454820257e-5
1637,6,5.954830972451106e-6
1637,7,1.0426328337256978e-6
1637,8,2.1478238302168348e-6
1637,9,9.364940565540021e-6
1637,10,2.099294944421302e-5
1637,11,2.0406361354227012e-5
1637,12,1.4752224881917203e-5
1638,1,1.606658669419191e-5
1638,2,1.4933103256708974e-5
1638,3,1.6435362028452377e-5
1638,4,1.1687082553137257e-5
1638,5,8.373151077771605e-6
1638,6,4.6083126203536e-6
1638,7,1.5773450917638474e-6
1638,8,1.8847583231039727e-6
1638,9,6.998406689417318e-6
1638,10,1.9762034482830506e-5
1638,11,2.0924064956778886e-5
1638,12,1.4936760041967975e-5
1639,1,1.2093233788101399e-5
1639,2,1.988616694387519e-5
1639,3,1.2877408081598661e-5
1639,4,1.3875285064743937e-5
1639,5,1.0102358066831284e-5
1639,6,4.353443671661946e-6
1639,7,1.1439857334246513e-6
1639,8,1.4723156657076082e-6
1639,9,1.381026052517634e-5
1639,10,1.84211386443203e-5
1639,11,1.7754623125540018e-5
1639,12,1.4898544841244555e-5
1640,1,1.5065609341338616e-5
1640,2,1.3386397479868042e-5
1640,3,1.309514071632804e-5
1640,4,9.351996305396408e-6
1640,5,1.0144420799171454e-5
1640,6,3.0061734113920877e-6
1640,7,7.648811503056265e-7
1640,8,1.3335226670624358e-6
