year,month,value
1593,8,1.203000245587466e-6
1593,9,7.711573709047394e-6
1593,10,6.7520345435176095e-6
1593,11,7.643600434922371e-6
1593,12,2.1910261931346942e-6
1594,1,8.36603186006774e-6
1594,2,9.823315326354684e-6
1594,3,2.4957301321554425e-6
1594,4,-4.017048060585997e-7
1594,5,-3.640141297844842e-6
1594,6,4.746371065416895e-7
1594,7,1.7513790296968086e-7
1594,8,5.749872073246863e-7
1594,9,6.048186059912279e-6
1594,10,1.885045858566447e-5
1594,11,9.781555607972607e-6
1594,12,1.0555921599275559e-5
1595,1,1.3381493702937513e-5
1595,2,1.5806566182258935e-5
1595,3,4.109775552390598e-6
1595,4,9.106518023252021e-6
1595,5,-6.369468886224151e-7
1595,6,-1.1874286981228126e-6
1595,7,2.4048260318536026e-7
1595,8,9.017491958554241e-7
1595,9,5.704820994033011e-6
1595,10,1.8787759029801625e-5
1595,11,5.004782229564119e-6
1595,12,2.798974191429806e-6
1596,1,2.29877293576707e-6
1596,2,7.128417419913951e-6
1596,3,5.411303416028613e-6
1596,4,2.8950434144965383e-6
1596,5,4.152297922549003e-6
1596,6,-1.2278807644853971e-6
1596,7,-3.167206704325441e-7
1596,8,1.1035633004003774e-6
1596,9,3.850733334166266e-6
1596,10,9.337696055681658e-6
1596,11,4.248902731611637e-6
1596,12,4.765924339992039e-6
1597,1,8.749932357576192e-6
1597,2,1.7356432148405498e-5
1597,3,1.1409440274571458e-5
1597,4,1.1437311614205128e-5
1597,5,1.1205640380081346e-6
1597,6,-2.1097581743986143e-6
1597,7,-3.3615133393676033e-7
1597,8,7.290434507105857e-7
1597,9,1.02870013437954e-5
1597,10,3.2748927225142378e-6
1597,11,8.776017907539711e-6
1597,12,7.173767237286048e-6
1598,1,1.3870591860562585e-5
1598,2,9.117058776193798e-6
1598,3,-1.7700091138965208e-6
1598,4,7.89080094570573e-7
1598,5,7.715891732412765e-7
1598,6,9.600621234800155e-7
1598,7,2.081199362078451e-7
1598,8,2.09310800152892e-6
1598,9,7.5765378567582185e-6
1598,10,2.1817938708525243e-5
1598,11,6.995424524397223e-6
1598,12,4.293016252860305e-6
1599,1,1.4395164040632635e-5
1599,2,6.79908669629704e-6
1599,3,-2.0717385911365556e-6
1599,4,8.738645904805857e-6
1599,5,5.752794677083108e-6
1599,6,2.1546566256823824e-6
1599,7,2.1602091344037615e-6
1599,8,1.8010994382459136e-06
1599,9,4.128641087071585e-6
1599,10,1.4283105796701452e-5
1599,11,8.575698055561781e-6
1599,12,1.3101573764476284e-5
1600,1,2.0070766131267777e-5
1600,2,7.150293718449699e-6
1600,3,1.6495928478093983e-5
1600,4,5.567719370819799e-6
1600,5,4.600052803806163e-6
1600,6,4.770068573079018e-7
1600,7,9.847097402800605e-7
1600,8,1.2938984762601276e-6
1600,9,1.889554916047398e-5
1600,10,-3.7191571253877026e-7
1600,11,1.0155883091727874e-6
1600,12,7.313434560139827e-6
1601,1,6.5480396512100165e-6
1601,2,1.1708069597922066e-5
1601,3,-2.823122408035534e-6
1601,4,3.7335682386268598e-6
1601,5,7.110479290031745e-6
1601,6,1.8481927873855022e-6
1601,7,5.963794504807317e-7
1601,8,1.9213657581193817e-6
1601,9,1.2126302003170815e-5
1601,10,1.087398872730974e-5
1601,11,4.976267965446645e-6
1601,12,1.474652971371164e-5
1602,1,7.434161033235618e-6
1602,2,-8.96710360141128e-6
1602,3,2.6384005747408224e-6
1602,4,4.706860020892399e-6
1602,5,4.578199262409763e-6
1602,6,3.5668231725395037e-6
1602,7,1.387683091003847e-6
1602,8,1.4941322558602505e-6
1602,9,1.186047673922957e-5
1602,10,1.6824777821866688e-6
1602,11,6.505774864761015e-6
1602,12,1.8333520562559356e-5
1603,1,1.3955136461454808e-5
1603,2,4.131233126939743e-6
1603,3,-1.9802951175182625e-6
1603,4,-2.543592267005786e-6
1603,5,7.658777855913819e-6
1603,6,-3.64160096348777e-7
1603,7,1.0105377674007175e-6
